platform,video_id,video_topic,comment,like,reply_count,tanggal,clean_comment,comment_length,engagement_score
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,How many views does it have now?,1,2,2024-03-16T05:30:29Z,how many views does it have now,31,3
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,1.2k,0,0,2024-03-16T05:30:43Z,k,1,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,12k,0,0,2024-03-28T20:25:54Z,k,1,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"this is soo good, described everything from pathology to how it impacts everyday clinical scenarios. thank you a bunch",22,0,2024-03-16T02:04:54Z,this is soo good described everything from pathology to how it impacts everyday clinical scenarios thank you a bunch,116,22
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thanks for uploading 3 dyas before my exam,9,0,2024-03-15T19:03:45Z,thanks for uploading dyas before my exam,40,9
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thanks,1,0,2024-03-15T08:53:00Z,thanks,6,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,I can&#39;t see clinical medicine playlist? Sir,1,0,2024-03-15T05:01:57Z,i cant see clinical medicine playlist sir,41,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Oh just realized Zach renewed the diabetes video. That&#39;s cool!,1,0,2024-03-15T04:05:10Z,oh just realized zach renewed the diabetes video thats cool,59,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,❤❤❤❤,1,0,2024-03-14T10:53:34Z,,0,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thanks a lot  for breaking it into digestible chunks!!,9,0,2024-03-13T19:39:27Z,thanks a lot for breaking it into digestible chunks,51,9
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Great video, thanks Ninja Nerd!",1,0,2024-03-13T03:16:18Z,great video thanks ninja nerd,29,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"<a href=""https://www.youtube.com/watch?v=rh8ycjPCj18&amp;t=477"">7:57</a> - Why can glucose not be utilised in diabetes? Surely the high glucose content in the blood doesnt require insulin to enter cells via facilitated diffusion using GLUT1 receptors? What is meant here by not being able to utilise carbohydrates?",2,2,2024-03-12T22:52:29Z,why can glucose not be utilised in diabetes surely the high glucose content in the blood doesnt require insulin to enter cells via facilitated diffusion using glut receptors what is meant here by not being able to utilise carbohydrates,235,4
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"I think that GLUT1 alone cannot provide enough glucose for some tissues to use, for example muscular tissue. That&#39;s why insulin reduction determines metabolic switch to lipolysis.",2,0,2024-03-25T18:35:20Z,i think that glut alone cannot provide enough glucose for some tissues to use for example muscular tissue thats why insulin reduction determines metabolic switch to lipolysis,174,2
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Because the insuline resistance , the receptor cannot be acctivated properly and GLUT molecules cannot go into the membrane",1,0,2024-04-16T10:14:54Z,because the insuline resistance the receptor cannot be acctivated properly and glut molecules cannot go into the membrane,121,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Look what I found! A fresh video! Thank you for your efforts!,23,0,2024-03-12T14:47:32Z,look what i found a fresh video thank you for your efforts,58,23
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,I&#39;m pratheesh from India (Tamil Nadu).big fan of you sir.say one hii sir..,36,2,2024-03-12T00:50:58Z,im pratheesh from india tamil nadubig fan of you sirsay one hii sir,67,38
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Why are you every where bro ?😂,9,0,2024-03-23T15:10:16Z,why are you every where bro,27,9
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,​@ok61😂😂😂😂😂😂😂😂😂09,1,0,2024-08-23T04:36:26Z,ok,2,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Look who comes back💥💥❤,1,0,2024-03-11T23:17:51Z,look who comes back,19,1
