date;diabetes;sering haus;sering buang air kecil;badan lemas;penglihatan kabur;luka sulit sembuh;gula darah tinggi;cek gula darah;diet diabetes;obesitas;minuman manis;makanan manis;neuropati;retinopati;gagal ginjal;kaki diabetes;insulin;prediabetes;hiperglikemia;kadar gula normal
2025-09-09 00:00:00;90;0;6;16;0;0;65;46;0;64;12;37;14;0;57;8;76;0;10;0
2025-09-10 00:00:00;79;0;7;15;0;0;62;23;0;74;13;32;14;0;68;11;70;0;0;14
2025-09-11 00:00:00;81;0;7;16;0;0;78;28;0;76;14;33;14;0;64;11;63;0;0;10
2025-09-12 00:00:00;75;0;6;16;0;0;66;41;0;69;0;35;11;0;66;7;67;0;0;15
2025-09-13 00:00:00;79;0;6;17;0;0;56;32;0;59;19;26;14;0;86;13;45;0;0;9
2025-09-14 00:00:00;70;0;5;19;0;0;43;17;0;50;13;33;16;0;51;0;49;0;9;13
2025-09-15 00:00:00;87;0;6;20;0;0;71;34;0;55;14;36;14;0;68;17;62;0;0;12
2025-09-16 00:00:00;80;2;7;17;0;0;70;38;0;51;12;36;10;0;69;7;72;0;12;16
2025-09-17 00:00:00;85;0;7;19;0;0;66;29;0;52;22;32;14;0;66;12;67;0;0;12
2025-09-18 00:00:00;90;0;5;16;0;0;68;35;0;65;13;40;0;0;59;9;64;0;0;7
2025-09-19 00:00:00;86;0;7;17;0;0;88;18;0;62;12;29;13;0;72;12;56;0;0;18
2025-09-20 00:00:00;78;0;6;18;0;0;79;30;0;60;0;35;15;0;62;8;49;0;11;0
2025-09-21 00:00:00;82;0;5;19;0;0;59;19;0;61;14;33;13;0;72;0;37;0;0;9
2025-09-22 00:00:00;85;0;5;18;2;0;62;31;0;65;14;29;12;0;72;12;65;0;9;10
2025-09-23 00:00:00;89;0;6;18;0;0;73;39;0;67;15;37;14;0;77;19;71;0;0;10
2025-09-24 00:00:00;94;0;6;20;0;0;68;31;0;77;12;27;13;0;78;10;73;0;9;15
2025-09-25 00:00:00;96;0;6;19;0;0;70;42;0;76;13;33;10;0;69;14;73;0;11;10
2025-09-26 00:00:00;95;0;6;19;0;0;55;36;0;47;10;28;13;0;73;18;54;0;9;15
2025-09-27 00:00:00;74;0;6;17;0;0;59;18;0;48;0;27;10;0;54;15;50;0;0;10
2025-09-28 00:00:00;83;0;6;20;0;0;69;30;0;88;11;34;12;0;72;9;47;0;0;8
2025-09-29 00:00:00;88;0;5;20;0;0;72;29;0;61;10;31;14;0;71;9;70;0;13;17
2025-09-30 00:00:00;78;0;8;16;0;0;71;42;0;73;22;29;13;0;69;21;67;0;10;0
2025-10-01 00:00:00;75;0;6;15;0;0;74;33;0;68;12;31;15;0;56;11;57;0;8;10
2025-10-02 00:00:00;75;0;4;15;0;0;55;33;0;67;17;29;16;0;72;12;61;0;8;11
2025-10-03 00:00:00;84;0;3;16;0;0;85;33;0;46;12;30;11;0;69;11;58;0;9;9
